id,component,louvain_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core,label
furlough,1,6,21,3.30265868273874,0.08425436609905748,0.0048266991060399,0.08425436609905766,0.08425436609905766,11,furlough
creed,1,2,11,1.6661118804269497,0.09868722909756793,0.0028295545291711854,0.09868722909756787,0.09868722909756787,8,creed
wife,1,5,15,2.7805568646464884,0.044027937074031916,0.0047086756949262475,0.04402793707403199,0.04402793707403199,10,wife
war,1,2,63,10.051683646610513,0.6582377715634672,0.013479833146438155,0.6582377715634674,0.6582377715634674,13,war
school,1,3,25,3.5625316653054506,0.07399650947344387,0.005393470003014142,0.0739965094734439,0.0739965094734439,11,school
pass,1,6,25,3.962807553767977,0.09262201251837691,0.005880067959314727,0.09262201251837718,0.09262201251837718,11,pass
lord,1,2,7,1.0085730196879297,0.004830898237442604,0.0024078785872973405,0.004830898237442597,0.004830898237442597,4,lord
military-police,1,5,17,2.3823583812610947,0.077898355836499,0.003979579299926029,0.07789835583649907,0.07789835583649907,10,military-police
close,1,6,18,2.6379177547207946,0.06295150836047984,0.0044814305835852225,0.06295150836047983,0.06295150836047983,11,close
camp,1,6,40,5.650592420971671,0.22817666481175625,0.00818824103843813,0.2281766648117564,0.2281766648117564,12,camp
sick,1,5,6,1.0311634090328705,0.0024442929654242152,0.0027339408051977533,0.002444292965424193,0.002444292965424193,4,sick
speech,1,2,7,1.1758819385064083,0.08365990761820702,0.0019824263403797225,0.08365990761820696,0.08365990761820696,7,speech
food,1,4,12,1.9729979619314733,0.02558114680967303,0.003398484010748591,0.02558114680967304,0.02558114680967304,8,food
fight,1,2,66,9.92687646570265,0.7199999816925028,0.0137493295179638,0.7199999816925033,0.7199999816925033,13,fight
fall,1,7,10,1.6613323353666585,0.02306019116687328,0.0034849115736727953,0.023060191166873273,0.023060191166873273,5,fall
educate,1,3,17,2.2078687391735445,0.10344736064573147,0.0034034169221194475,0.10344736064573147,0.10344736064573147,11,educate
office,1,3,54,8.094075551450427,0.2987184845254197,0.011925654118492628,0.2987184845254196,0.2987184845254196,12,office
worth,1,5,1,0.26558682357929864,8.155873796564993e-4,0.0010368225590839794,8.155873796565004e-4,8.155873796565004e-4,1,worth
organ,1,3,11,1.5135062325774067,0.025880350163456557,0.0029033101432200466,0.025880350163456592,0.025880350163456592,8,organ
field,1,3,24,3.102262398129049,0.053007053158837907,0.004965716566624968,0.05300705315883801,0.05300705315883801,11,field
express,1,7,4,0.6451155340153993,0.013134863008453637,0.00158228071387412,0.013134863008453651,0.013134863008453651,4,express
spend,1,6,20,2.679521428640693,0.05980215945502053,0.004316990335855497,0.059802159455020563,0.059802159455020563,10,spend
discrimination,1,2,21,2.7384735413073398,0.13951515006141701,0.004350336767755015,0.139515150061417,0.139515150061417,10,discrimination
bus,1,4,35,5.428759414754434,0.19458056524408993,0.008310166154245326,0.1945805652440897,0.1945805652440897,11,bus
money,1,6,18,2.6344954888167473,0.04667457021975226,0.004240727585426123,0.04667457021975224,0.04667457021975224,9,money
military,1,5,5,0.7418039378476415,0.007588672140916626,0.0017090341383394867,0.007588672140916627,0.007588672140916627,4,military
white-man,1,2,22,3.4589436895251024,0.38888349505745334,0.005132188090096662,0.3888834950574531,0.3888834950574531,13,white-man
sleep,1,6,7,1.136045025811929,0.008022103592869765,0.0024230236055012193,0.00802210359286978,0.00802210359286978,5,sleep
dog,1,2,4,0.581490520750694,0.07136952818737743,0.001153340705353596,0.07136952818737745,0.07136952818737745,4,dog
wait,1,4,7,1.0215937680906102,0.014153982043328088,0.0024631310585099047,0.014153982043328099,0.014153982043328099,5,wait
transport,1,4,11,1.5478233933294425,0.06479834508195133,0.0025919238422410533,0.06479834508195133,0.06479834508195133,9,transport
guard,1,1,11,1.5463361724802507,0.024169289561185196,0.0025546484932397577,0.0241692895611852,0.0241692895611852,10,guard
black-man,1,2,43,6.294311396924108,0.43860177062704203,0.008811350232236753,0.4386017706270419,0.4386017706270419,13,black-man
serviceclub,1,4,4,0.5908492283616955,0.006511253795295893,0.0015536066120513804,0.006511253795295878,0.006511253795295878,4,serviceclub
doctor,1,5,4,0.7843960201758038,7.834634005810772e-4,0.0023265223351654,7.834634005810593e-4,7.834634005810593e-4,3,doctor
race,1,2,48,7.510111827273497,0.6094701805465597,0.010818870035405949,0.6094701805465593,0.6094701805465593,13,race
month,1,6,32,4.4066402225825065,0.10524600193135092,0.00648327622832151,0.10524600193135089,0.10524600193135089,11,month
time,1,6,46,6.332193963073767,0.19338592786367392,0.008974066938742933,0.19338592786367415,0.19338592786367415,12,time
army,1,1,63,8.745057402148268,0.30189229210455637,0.012339584398406708,0.3018922921045564,0.3018922921045564,13,army
air,1,1,23,4.237616258584162,0.07184668131142959,0.0062620279875413715,0.07184668131142981,0.07184668131142981,10,air
country,1,2,51,7.155267909045811,0.46073880029181213,0.010055037920107417,0.4607388002918122,0.4607388002918122,13,country
